app_name,review_all,sentimen
Ajaib,investasi saham jadi lebih mudah karena info saham nya lengkap jadi tidak bingung harus mulai dari mana jadi tidak harus nebak arah pasar ke mna,positive
Ajaib,aplikasi saham terbaiktampilannya bagus dan fiturnya lengkap mudah digunain jugajujur dibanding aplikasi lain disini fiturnya lebih mudah dan tidak ribet,positive
Ajaib,dri beberapa apk paling enak nyaman simple disini sih mudha bngt dimengerti disini aman jdi aga memgerti karna simle,positive
Ajaib,aplikasi ini dinilai unggul karena mampu menyajikan data investasi saham secara real time lengkap dengan grafik pergerakan harga yang membantu pengguna membuat keputusan yang lebih terinformasi,positive
Ajaib,manipulasi harga,negative
Ajaib,aplikasi nya mudah dan bagus,positive
Ajaib,sangat buruk saya depo pakai dana bisa giliran mau wd ke dana ternyata tidak bisa wd nya ke bca trus bank penerima bca mau saya ganti ke dana saja ternyata tidak bisa diganti keterangan nya untuk pemilik rdn bca pastikan rekening barumu tetap berasal berasal dari bank bca agar perubahan tetap di setujui padahal bca saya sudah tidak bisa dipakai dan sudah malas pakai rekening bca mau di ganti malah tidak bisa sungguh aneh ajaib sungguh tidak recommended ajaib,negative
Ajaib,buruk punyaku tidak bisa ganti akun penerima dana padahal yang laen bisa ribet enakan tokocripto tidak seribet ajaib,negative
Ajaib,saya beberapa tahun lalu pernah m ndaftar dan saya sudah deposito lalu saya buka di tahun ini untuk login malah tidak bisa login,neutral
Ajaib,iya ribet banget ngurus akun saja pantesan bintang 40 orang ribet kayak gini gimana orang mau pakai dan percaya sma aplikasinya kalau sistem kyk gini,negative
Ajaib,ajaib saham memudahkan saya memantau pergerakan pasar melalui tampilan yang rapi dan cepat dipahami informasi tiap emiten lengkap membuat aktivitas trading terasa lebih nyaman dan efisien,positive
Ajaib,mencoba aplikasi ini,positive
Ajaib,ajaib saham membantu saya memahami pasar dengan tampilan simpel dan fitur edukasi yang jelas transaksi terasa cepat grafik mudah dibaca dan notifikasi harga sangat berguna cocok untuk pemula yang ingin mulai investasi nyaman sekarang,positive
Ajaib,ajaib multi akun bisa lebih dari satu dong margin dan reg bisa lebih dari 1 trus tranger sahamnya pertaining list saham dari dan ke biisa tampil jadi visa keliatant ipot stockbit bisamasa ketinggalan cek ipot tuh ajaib biasanya yang terdepan ini malah ketinggalanbiar yang punya dana gede bisa trading lebih leluasa rising padahal ajaib aplikasinya usher top menurut saya fiturnya kayak transfer saham dan margun maju trus dong ajaib banyak yang download tapi blom jadi top value di ranking,positive
Ajaib,aplikasi ajaib nyaman banget buat dipakai satset dan tidak ribet cocok juga dipakai buat pemula pokoknya jadi makin semangat deh buat investasi di ajaib,positive
Ajaib,aplikasi ajaib bagus banget karena bisa nabung reksadana juga dengan mudah praktik dan bikin jadi disiplin untuk investasi mantap,positive
Ajaib,aplikasi ajaib saham makin keren dengan fitur koleksi saham sangat memudahkan mengelompokkan saham sesuai dengan strategi keren,positive
Ajaib,baru belajar investasi saham ternyata oke juga pake aplikasi ini bisa dicoba untuk pemula,positive
Ajaib,tempat nabung reksadana aman dan juga terpercaya,positive
Ajaib,hati2 kena jebakan batman paylater ajaib pakai future itu bisa jadi hutang nanti setelah rugi hutang datanya dihapus diajarin historinya,negative
Ajaib,fitur bantuan ajaib tidak bisa di akses alias blank saat di klik ini sangat berbahaya karena disini transaksi keuangan dan bisa merugikan investor ini melanggar aturan saya akan laporkan purbaya,negative
Ajaib,transaksi penjualan reksadana berhasil tapi ada satu nyantol sudah ada keterangan berhasil tapi dana tidak masuk ke rdn aku komplain ke siapa ini tolong dibantu dong cs nya yang helpful 200rb an itu juga uang,negative
Ajaib,sangat simple dan lengkap bisa beli ipo superbank nabung reksadana bonus 100k plus data real time,neutral
Ajaib,tolong di munculkan reksadana pasar uang usd di ajaib sekuritas,neutral
Ajaib,biaya fee nya mahal banget gila,negative
Ajaib,aplikasi investasi saham yang mantap terpercaya salah satu andalan saya untuk investasi,positive
Ajaib,kirim e wallet gagal tapi saldo tidak ada,negative
Ajaib,aplikasi tolol sumpah jangan instal aplikasi ini cuma penipuan maling doang kerjanya,negative
Ajaib,di keterangan pencairan dana maksimal 1 tapi tidak masuk masuk hadeeehh akan saya kasik bintang 5 kalau sudah genah,negative
Ajaib,mantap cuman screenernya perlu di update lagi,positive
Ajaib,apk yang terpercaya dan aman investasi saham dan rekasadana yang mudah dipahami dan lancar recommended bgttt,positive
Ajaib,saldo gagal tarik truss,negative
Ajaib,lumayan bagus buat inves,positive
Ajaib,aplikasi sampahlemotnya minta ampunga usah pake aplikasi ini saja udahlemot banget,negative
Ajaib,banyak nya edukasi seputar saham dan reksadana di aplikasi ajaib ini sangat memudahkan untuk pemula kayak aku sudah gitu tampilan aplikasi nya yang simple bikin nyaman tidak ribet sangat sangat membantu sekali pokok nya jempol deh,positive
Ajaib,tempat nya trading saham disini paling aman nyaman terpercaya tidak ribet,positive
Ajaib,ajaib bantu aku atur strategi investasi jangka pendek dengan fitur chart yang detail banget ‎,neutral
Ajaib,enak pengoprasiannya,negative
Ajaib,sayang tidak ada sistem keamanan 2fajadi takut waswastakut kenak hackmampus gua,negative
Ajaib,saham siapa sangka investasi di saham antm bisa seseru ini saya sempat tertarik karena tren nikel dan energi hijau dan lewat ajaib saya bisa pantau grafiknya setiap hari waktu saham goto baru ipo saya langsung coba beli lewat ajaib transaksinya super cepat tidak ada drama menariknya saya juga bisa belajar tentang prospek bisnis digital dari fitur “insight” di aplikasinya,positive
Ajaib,pending lamabiaya transaksi mahalbukannya untung malah rugi kena biaya transaksi yang muahal,negative
Ajaib,saham bbni saya pilih karena potensi perbankannya besar ajaib bantu kasih insight lengkap buat keputusan investasi,positive
Ajaib,aplikasi ajaib memang segar dan top,positive
Ajaib,suka baget ajaib ini biaya transaksi 0 fitur stock screener bonus pulsa rdn 75rn dsn dapat bitcoin saat transaksi kripto pula,neutral
Ajaib,trading di ajaib saham bikin saya semangat tiap hariapalagi grafiknya real time dan notifnya selalu tepat waktu,positive
Ajaib,trading saham di ajaib bikin saya semangat tiap pagi apalagi grafiknya realtime dan notifikasinya selalu tepat waktu banget,positive
Ajaib,investasi saham sekarang tidak ribet ajaib bantu saya analisis tren baca laporan sampai atur strategi belijual dengan mudah,positive
Ajaib,ajaib bantu saya kelola investasi lebih rapi dari saham sampai reksadana semuanya jelas sehingga keputusan finansial terasa lebih terarah setiap hari,positive
Ajaib,kalender deviden di ajaib mana kok sudah hilang sih,negative
Ajaib,aku merasa ajaib saham bikin proses investasi lebih teratur informasi pergerakan harganya jelas grafik mudah dipahami dan fitur notifikasinya membantu banget buat nangkep peluang pasar tanpa harus memantau terusmenerus,positive
Ajaib,aamiiin,positive
Ajaib,tidak bisa buka jelek,negative
Ajaib,aplikasi yang cocok buat belajar saham disini banyak saham yang bisa menghasilkan uang disini juga bisa berinvestasi reksa dana nabung juga bisa,positive
Ajaib,bagus,positive
Ajaib,ajaib saham membantu lewat fitur peringatan harga yang muncul tepat waktu setiap notifikasi membuatku lebih sigap memantau saham favorit informasi emitennya rapi sehingga proses analisis terasa ringan untuk pemula sepertiku,positive
Ajaib,anjoy ni apk bikin geram gw sudah daftar dri seminggu yang lalu janji kerja kurang dri 24 jam di luar kerja bursa knp sudah lewat seminggu sampe skrg akun gw blm di verifikasi tolong lah woi developer nyaa kemana nih benerin lagi apk lu,negative
Ajaib,ajaib saham memudahkan investasi pasar indonesia dengan informasi emiten lengkap grafik ringkas dan biaya kompetitif pengguna dapat memantau portofolio menetapkan target serta belajar strategi melalui fitur edukasi yang membantu meningkatkan pemahaman finansial,neutral
Ajaib,aplikasi sangat di rekomendasi kan buat pemula wajib download sih ini simple juga buat mempelajari seperti trading saham saham cuan dan lainnya sangat keren,positive
Ajaib,yang mau download hati hati saja deposit sering delay proses wd lama dan ketika match di sell saham tiba tiba sahamnya hilang 1 lot saham brms tiba tiba hilang gitu saja sudah di chat dan email cs agent beserta semua bukti transaksi ternyata yang balas hanya robot dan mengulang ulang perintah kirim bukti lagi,negative
Ajaib,mudah di gunakan gampang di pahami,neutral
Ajaib,pilihan terbaik buat aku investasi saham disini fiturnya juga lengkap banget ada fitur kalender saham ada fitur koleksi saham dann tidak kalah pentingnya lagi banyak edukasi buat kita yang masih pemula banget investasi saham,positive
Ajaib,benerin dong ketika kirim data pemilik manfaat kok error http 404 itu server kagak keurus apa mana pertanyaan nya ada yang ambogu 2x pertanyaan,negative
Ajaib,tolong min bantu perbaiki stoploss masak saya sudah 5x pasang stoploss tidak kejual malah arb parah padahal dulu amanaman saja,negative
Ajaib,trading saham yang paling mudah untuk digunain dan bisa menguntungkan investasi disini top banget deng,positive
Ajaib,aplikasi nya bagus untuk investasi saham seperti bbcaantm dan lain lain,positive
Ajaib,aturan rdn diperbaiki min daftar gara gara saldo sedikit ditolak distokbit no saldo masih bisa diterima,neutral
Ajaib,amaan banget dan sangat rekomendasi untuk trading di ajaib saham,positive
Ajaib,pengalaman ku sangat puas,positive
Ajaib,sumpah saya masih pemula malah turun saham nyahaddeh,negative
Ajaib,kapan ajaib bikin fitur trailling ya,neutral
Ajaib,aplikasinya mudah dipakai tampilannya simpel dan cocok untuk pemula investasi jadi praktis proses cepat dan fiturnya lengkap sangat direkomendasikan,positive
Ajaib,saya juga suka dengan fitur notifikasi harga dan rekomendasi saham jadi tidak ketinggalan momentum pasar selain itu edukasi dan artikel di dalam aplikasinya juga sangat bermanfaat untuk memahami dunia investasi lebih dalam,positive
Ajaib,proses beli ipo emas saham di aplikasi ajaib sangat cepat mudah menarik awalnya sangat ragu memakai setelah saya memulai awal ajaib ternyata sangat mudah,positive
Ajaib,ajaib saham emang rekomendasi buat investasi sahamapa lagi disini cocok bagi pemula sekalipun,positive
Ajaib,ajaib saham emg the best sih mudah d pahami tata cara invest ny,positive
Ajaib,sejauh ini tidak ada masalah maka dari itu pertahankan ya,positive
Ajaib,gila nih apk mahal banget pee penjualan buat kalian mending enggak usah pakai apk ini kalau nge plus bnyak jadi dikit kalau minus dikit jadi banyak minus nya,negative
Ajaib,aku paling suka fitur portofolio yang lengkap bisa pantau untung rugi dengan detail,positive
Ajaib,volume nya hoaks king,negative
Ajaib,buy sell disini paling gampang di ajaib saham ini juga ada fitir kalender saham buat liat info emiten terbaru,neutral
Ajaib,sekarang saya lumayan puas saya tambah bintang nya cuma kurang satu lagi saran saya untuk tf kurang lengkap tolong untuk tf yang lengkap karena tidak semua orang berinvestasi ada yang scalping ada yang day trader ada yang swing trader ada yang investasi jadi tolong lengkap i tf nya dari waktu jam cuma ada 1 jam dan menitnya bagi yang suka scalping dan day trading susah sekali nanti kalau sudah lengkap saya kasih bintang 5,positive
Ajaib,aplikasi yang bagusbanyak edukasi buat pemulatampilan ringan mudah dipahami best ajaib saham,positive
Ajaib,belum ada akun saham syariah dengan rdn jago syariah bca syariah atau bsi,neutral
Ajaib,hati hati penipuan saya download aplikasi pintar saya menyesuaikan misi download ajaib ini di imingiming in akan di transfer 25rb tapi ternyata penipuan malah di suruh beli produk di aplikasi ajaib ini orang sudah menyelesaikan misi malah tidak di tf parahh banget ini aplikasi pintar dan ajaib ini jangan di percaya plis,negative
Ajaib,mudah di pake investasi untuk pemula ini sangat cocok saham nya pun lengkap,positive
Ajaib,baru belajar berinves via platform ajaib mudah dimengerti tidak ribet semoga bisa sama² berkembang gdluck,positive
Ajaib,usahakan kalau mau juqldipercepat dong takkan mau tunggu dua hari,negative
Ajaib,sudah lebih dari 3 tahun saya pakai ajaib saham dan rasanya seperti punya asisten pribadi untuk urusan investasi dulu saya benarbenar buta soal saham tapi berkat tampilannya yang sederhana dan rekomendasi saham pilihan ajaibnya saya jadi berani mulai investasi pelanpelan proses daftarnya yang cuma hitungan menit bikin saya langsung jatuh cinta,positive
Ajaib,aplikasi tidak jelas adminnya mahal banget dan minimal depo 10rb tp gw punya saldo 20rb mau coba trading malah tidak bisa cuma buang2 duit doang klo trading di aplikasi ini,negative
Ajaib,aplikasi nya bagus menurut ku simple digunakan gampang buat pemula fiturfitur nya juga lengkap semua,positive
Ajaib,rekomen bngtt pliss si ini apk yang mau beli atau jual saham dsnii amann bngtt,positive
Ajaib,hasil penjualan saham hari ini tidak bisa jadi buying power tidak bisa langsung bertransaksi dan harus nunggu t2 padahal ini untuk pembelian saham bukan withdrawal ini merugikan,negative
Ajaib,sangat mudah digunakan dan tidak ribet tampilan aplikasinya sangat modern cocok buat saya,positive
Ajaib,awalnya cuma coba coba ternyata aplikasi nya bagus banyak fitur yang membantu dalam transaksi saham,positive
Ajaib,buat yang baru mulai investasi saham ajaib saham tuh tempat belajar yang asik banget banyak materi edukasi buat pemula mulai dari artikel ringan sampai video penjelasan jadi sambil investasi bisa nambah ilmu juga tanpa terasa berat manteman,positive
Ajaib,jujurly sejak pakai ajaib saham investasi saham rasanya jadi lebih gampang dan seru selain bisa beli saham aku juga bisa nabung reksadana langsung di satu aplikasi tanpa harus pindahpindah jadi cocok banget buat yang pengen investasi tapi tidak mau ribet,positive
Ajaib,aplikasi ajaib saham adalah platform investasi yang tampak sederhana namun memiliki sistem algoritmik yang kompleks di balik tampilannya yang ringan tersimpan analisis data pasar yang mendalam integrasi realtime,positive
Ajaib,cocok banget buat investasi saham yang suka kecepatan dan kemudahan,positive
Ajaib,sangat menarik investasi saham disini data data dan informasi ekonomi nya juga lengkap banget apalagi fiturnya sudah lengkap smua sangat sepadan aplikasinya juga ringan sangat recommended nih,positive
Ajaib,suka banget sama apk ini bisa investasi saham jadi lebih mudah dan praktis banget,positive
Ajaib,mantap,positive
Ajaib,semua invetasi saham populer tersedia di sini tinggal pilih saja,neutral
Ajaib,min uda 2 hari tidak masuk transferannya tarik dari ajaib gmana min hubungi kemana,negative
Ajaib,senang banget sekarang di ajaib sudah bisa invest saham luar negeri mantap ajaib,positive
Ajaib,nyaman banget dan mudah dipakai kekurangan tidak semua saham as ada,positive
Ajaib,pelayanannya labat banget transfer saldo tidak masuk chet cs yang bales boot potongan nya banyak,positive
Ajaib,terlalu banyak persyaratan seperti sensus penduduk saja,negative
Ajaib,investasi beli saham di ajaib mudah banget fiturnya paling enak disini,positive
Ajaib,transaksi tarik dana real time kok masuknya lama aplikasi kurang memuaskan,negative
Ajaib,ajaib emang beneran bantu banget buat investasi saham tinggal pilih saham kayak bbca top up dan langsung bisa beli fiturnya lengkap cocok buat pemula maupun investor berpengalaman,positive
Ajaib,saya sudah investasi disini selama 2 tahun dan sangat nyaman untung nya pasti dan proses sangat cepat pokoknya mantap deh,positive
Ajaib,apk ribet banyak verifikasi ya mulai dari pendidikan sebelumnya apakah pernah investasinama orang tua ktp orang tua dan datayang tidak penting lainnya di minta seperti kode pos,neutral
Ajaib,aplikasi ajaib saham mudan dalam ber transaksi dan gampang juga di gunakangak ribet investasi mudahmaupun saham,positive
Ajaib,aplikasi bagus si tapi deposit n wd lama pollll tolong dong di perbaikin sistemnya sama satu lagi mau ganti nomor hp jgn di persulit,negative
Ajaib,sudah bagus hanya saja tolong ditingkatkan proses penarikan rdn saat jam bursa sedang off,neutral
Ajaib,swmoga suksesss,positive
Ajaib,beli reksadana doang masuknya 2 hari trs klo mau wd 3hari gila nyesel bet gua tidak research dlu emng apk kon,negative
Ajaib,ketentuan daytrading nya ngk jelas,neutral
Ajaib,perasaan eror mulu ni apk,negative
Ajaib,perbaiki noh pergantian hape kocak,neutral
Ajaib,blm bisa d verifikasi karena beda bank,neutral
Ajaib,transaksi terlama berharihari,negative
Ajaib,untuk pergantian rekening laka bisa memakan 7 hari kerja tidak ada fitur ganti nomor hp tidak ada fitur filtrasi saham ui nya ribet dan user frendly g instan pyment g secepat qris atau tfan apps ke apps lain lambat,negative
Ajaib,haduh busuk banget,negative
Ajaib,mantap ajaib fiturnya lengkap no ngeleg ngeleg,positive
Ajaib,ajaib jadi aplikasi investasi andalan saya informasinya lengkap transaksinya cepat dan hasil investasinya terbukti stabil dari bulan ke bulan,positive
Ajaib,ajaib saham memudahkan pengguna berinvestasi di pasar modal dengan aman dan praktis dengan fitur edukasi analisis saham serta notifikasi harga pengguna bisa membuat keputusan investasi lebih bijak dan menguntungkan setiap saat,positive
Ajaib,pertahankan yang sudah baik,positive
Ajaib,posisi saya baru belajar dan terasa mudah,positive
Ajaib,keren,positive
Ajaib,ajaib saham menawarkan cara baru menikmati dunia investasi secara sederhana dan modern melalui fitur interaktif informasi akurat serta rekomendasi terpercaya pengguna bisa memahami pasar mengatur strategi dan mengembangkan modal dengan lebih bijak serta efisien,positive
Ajaib,ajaib menghadirkan solusi investasi modern dengan pendekatan inovatif melalui fitur dinamis edukasi interaktif dan panduan terpercaya pengguna dapat mengelola keuangan serta menumbuhkan aset secara maksimal,positive
Ajaib,ajaib saham mempermudah siapa pun berinvestasi dengan panduan realtime fitur intuitif dan edukasi praktis untuk mendukung keputusan finansial yang lebih bijak,positive
Ajaib,ajaib saham membuat investasi terasa mudah dan menyenangkan dengan fitur lengkap panduan jelas dan tampilan simpel siapa pun bisa mulai berinvestasi dengan percaya diri,positive
Ajaib,ok,negative
Ajaib,woi gua ambil reksadana kaga masuk masuk ajaib tolong dong mao di cancel gabisa sedangkan sistem buat reksadana tidak jelas,negative
Ajaib,ajaib bantu saya wujudkan tujuan finansial fiturnya lengkap edukasinya jelas dan hasil investasinya bikin semangat terus nabung tiap bulan,positive
Ajaib,pakai ajaib bikin saya lebih percaya diri investasi tampilannya sederhana tapi fiturnya lengkap banget dari saham reksadana sampai obligasi,positive
Ajaib,potongan nya gede banget saldo pendapatan dan saldo pengeluaran hasilnya tidak jelas,negative
Ajaib,lambat kali kalian kirim uang penarikan sudah biaya mahal lambat pula securitas apa kalian ini,negative
Ajaib,fitur sl sama tp mendadak hilang dan menjadi fast order lucu sumpah orang disini tidak boleh profit,negative
Ajaib,exelent,negative
Ajaib,harus punya kendali sabar yang full power gan pendaftarannya lama sekali sudah nyampe 1 minggu lebih dikit akun saya tidak ada perubahan status masih verifikasi beda sama yang ono makmur dan bibit 3 hari sudah selesai virivikasi,positive
Ajaib,ini apk yang kasus itu ya yang ngelariin duit nasabah terus baru ini juga persulit wd heran kok tidak di periksa ojk,negative
Ajaib,ok,negative
Ajaib,ok,negative
Ajaib,semakin maju ajaib,positive
Ajaib,fitus semakin lengkap,positive
Ajaib,akun saya kok tibahilang di ajaib kenapa ya,negative
Ajaib,mantap aplikasinya,positive
Ajaib,sudah bagus tapi tolong tambahin fitur trailing stop dong kalau tidak ada saya mau pindah sekuritas,negative
Ajaib,nyoba tes ombak deposit 100 ribu duit sudah kekirim udha jelang 3 hari gamasuk dapet notif transaksi gagal bukan masalah duitnya tapi sekecil duit 100k saja transaksi bermasalah apa lagi gede parah,negative
Ajaib,aplikasi bagus terimakasih,positive
Ajaib,ok,negative
Ajaib,aplikasih nya bagussimple cocok buat pemula yang mau inventasi dan transaksi nya gercep,positive
Ajaib,aplikasi sangat berguna untuk yang mau beli saham dan aplikasi ini sangat mudah digunakan dan dimengerti terima kasih,positive
Ajaib,aplikasi ajaib saham emang apa buat pemula yang mau coba investasi saham maupun reksadana,positive
Ajaib,cukupp mudah ya penggunaaan aplikasi inii ditambah fiturnya yang melimpah dann wort it lahhh dipake tidak ribet jg banyak promonya transaksinya jg langsung,positive
Ajaib,simple aplikasinya jadi mudah mau pilih saham mana yang lagi bagus pokoknya bestlah,positive
Ajaib,ajaib saham adalah aplikasi yang bagus sekali menurut sayadia sangat membantu kita yang pemula untuk memulai dari 0,positive
Ajaib,untuk pemula cocok kali soalnya ada panduannya sama banyak infonya,positive
Ajaib,aplikasi cocok untuk pemula aman ada panduan juga saya sudah 2 tahun menggunakan ajaib aman dan transaksi juga gampang bagus buat yang pemula,positive
Ajaib,adain fitur trailing stop,neutral
Ajaib,ajaib saham investasi saham terbaik,positive
Ajaib,terlalu di persulit di masalah registrasi seperti alamat kantor dan nomor telepon kantor kode pos kantor dan bamyak hal lain yang sangat tidak relevan bagi seorang pemula lagi pula kuta kan mau berinvestasi bukan sedang mau mengajukan pinjaman ya kan,negative
Ajaib,bintang 1 dulu uang gua nyangkut sudah 3 hari baru jual saham uang nya ngga masuk entah pergi kemana dah tu uang,negative
Ajaib,boom harga pi ne,negative
Ajaib,banyak cs palsu komen di feed itu akun banyak banget sudah dblokir nongol lagi cs palsu nya yang lain ksh komentar yang nyepam banget padahal kalau admin ajaib niat mah bisa dtrack dan dblok akun itu krna khan daftar ajaib pake ktp bsa ketauan nama dan nik di ktp nya tidak mngkn bsa bikin akun lagi dgn ktp yang sama tolong bikn sistem keamanannya yang bagus dong klo perlu pake sidik jari dan identifikasi wajah saja kaya exchange sebelah soalnya klo misal ktp pun bsa sembarangan diambil dri google,negative
Ajaib,deposito lama banget,negative
Ajaib,waw,positive
Ajaib,verifikasi lama sudah lebih 5 hari sibuk banget ya admin kalau kurang orang mu saya aply lah lamaran,negative
Ajaib,aplikasi tergobl0k pencipta nya fitur nya sulit dipahami,negative
Ajaib,good,positive
Ajaib,kenapa pas saya minta penghapusan akun bahkan dari email tidak ada respon tolong perbaiki dong saya sudah mengirim email dengan akun saya yang ini di periksa ya,negative
Ajaib,terima kasih sudah memberikan pelayanan yang terbaik sukses untuk semuanya,positive
Ajaib,sangat mudah untuk berinvestasi,positive
Ajaib,verifikasi gua lamaa amat,negative
Ajaib,gesit cuma verifikasi nya lama baget,negative
Ajaib,tf rdn ke rekening ajaib alpa lemot,neutral
Ajaib,sumpah tidak jelas banget jangan kemakan komentar bagus guys komentar dari tim sendiri itu jelek parah aplikasinya biaya super mahal trus lagi trade liat portofolio eh statusnya pending lah gimana orang mau untung klo begitu semaunya sndiri sumpah nyesel kalian klo download aplikasi ini untungnya tidak deposit besar di coba dulu deposit kecil sudah gitu customer service nya tidak 24 jam lagi benerbener parah,negative
Ajaib,scam tidak bisa di wd,negative
Ajaib,kendala qris sudah di tl thx kak,neutral
Ajaib,parah saya narik duit dr tgl 5 di aplikasi tertulis berhasil tapi duitnya ngga masuk² chat cs berkali² isinya cuman mohon cek² berkala,negative
Ajaib,saya naikin bintangnya kalau sudah nyaman pemakaiannya saya kasih bintang 5,positive
Ajaib,aku kira investasi saham itu ribet tapi setelah coba ajaib ternyata gampang banget cukup install daftar isi saldo langsung bisa beli saham buat pemula kayak aku aplikasi ini ngebantu banget karena ada panduan dan info saham yang jelas pokoknya cocok banget buat yang baru mau belajar investasi,positive
Ajaib,saya mau menutup akun tapi malah di suruh ngirim suratpisik surat ke pt nya apaan ini surat bermaterai lagi pdahal saya mau hapus akun ku,negative
Ajaib,belajar dgn mudah,positive
Ajaib,registrasi nya kelamaan masa sudah 7hari tidak kelarkelar jadi takut mau investasi melalui ini,negative
Ajaib,nyesek cok pake ajaib abis ngejual saham dana tidak langsung masuk rdn kek sekuritas lain kan gua jadi tidak dapet momentum di saham lain gua kira sama kualitasnya eh ternyata sangat tidak direkomendasikan untuk day trade sekuritas ini,negative
Ajaib,lama banget diverifikasi datanya sudah install setahun bjir lah masih belum juga mikir dong ini kalian ngapain,negative
Ajaib,parah sih ini apk pada saat ihsg turun banyak saham yang arb dan mendekati arb pas mau beli pake future tl ataupun cash masa tiba2 kaga bisa aneh sih ini apk sudah gitu di riwayat kaga ada kejelasan penjelasannya atau rinciannya ket cuma transaksi saham tarik rdn pembayaran kewajiban transaksi giliran di komplain ke cs cs jawabnya kaga sesuai pertanyaan dan langsung hilang setelah jawab waah ada main apa yah apk ini,negative
Ajaib,tolong di bagian realized profitloss dikurangin biaya admin,neutral
Ajaib,ajaib saham bantu pengguna kelola portofolio dengan mudah pantau pergerakan pasar realtime dan belajar investasi lewat edukasi interaktif cocok banget buat yang mau mulai investasi aman,positive
Ajaib,bagus bagi pemula,positive
Ajaib,aplikasi ajaib saham bantu aku investasi lebih mudah dan aman fitur analisisnya lengkap cocok buat pemula yang mau belajar saham proses jual beli cepat dan transparan banget,positive
Ajaib,aplikasi ajaib saham bikin investasi makin mudah daftar cepat pantau saham realtime dan belajar investasi dari nol cocok banget buat pemula yang pengin mulai nabung saham aman,positive
Ajaib,mencoba investasi di ajaib semoga ada perubahan yang jauh lebih baik,positive
Ajaib,mantap boss ok langsung lancar,positive
Ajaib,ok,negative
Ajaib,nice,positive
Ajaib,aplikasinya bagus banget terus gampang dan mudah di pahami di banding aplikasi saham lainnya,positive
Ajaib,mau tnya bosini ada unsur ribanya ngax,negative
Ajaib,masalah di penarikan reksadana saya blm masuk sudah 7 mingguudh melebihi estimasi mohon di perbaiki,neutral
Ajaib,terlalu lama transaksi nya,negative
Ajaib,ajaib saham mah apik pisan rek gampang digunakeun tampilanna rapih lan akeh pisan info investasi cocok banget kanggo wong enom sing arep mulai nabung saham,positive
Ajaib,ajaib saham jhâ’ mantap pol gampang ben cepet digunâ’ tampilanna rapi ben banyak ilmu soal investasi cocok ngâghi orèng anyar sing arep belajar saham,positive
Ajaib,pelayanan jelek banyak pilihan yang tidak di mengerti,negative
Ajaib,aplikasi ajaib sangat cocok untuk trader pemula dan investor jangka panjang karena memiliki fitur yang lengkap dan mudah digunakan,positive
